,Dividend,ID,Index,LastTradeDateTime,LastTradeDateTimeLong,LastTradePrice,LastTradeTime,LastTradeWithCurrency,StockSymbol,Yield
0,,22144,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",164.05,4:00PM EDT,164.05,AAPL,
1,,694653,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",951.99,4:00PM EDT,951.99,GOOGL,
2,,660463,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",978.25,4:00PM EDT,978.25,AMZN,
3,,296878244325128,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",172.02,4:00PM EDT,172.02,FB,
4,,1123549994770601,OTCMKTS,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT","1,975.00",4:00PM EDT,"1,975.00",SSNLF,
5,,358464,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",73.94,4:00PM EDT,73.94,MSFT,
6,,33095,NYSE,2017-09-01T16:02:03Z,"Sep 1, 4:02PM EDT",39.72,4:02PM EDT,39.72,SNE,
7,,18241,NYSE,2017-09-01T16:00:05Z,"Sep 1, 4:00PM EDT",144.08,4:00PM EDT,144.08,IBM,
8,,685139,OTCMKTS,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",41.86,4:00PM EDT,41.86,NTDOY,
9,,419344,NYSE,2017-09-01T16:02:15Z,"Sep 1, 4:02PM EDT",50.62,4:02PM EDT,50.62,ORCL,
10,,718288,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",107.48,4:02PM EDT,107.48,VMW,
11,,284784,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",35.09,4:00PM EDT,35.09,INTC,
12,,17154,NYSE,2017-09-01T16:04:21Z,"Sep 1, 4:04PM EDT",19.36,4:04PM EDT,19.36,HPQ,
13,,420424055286581,NYSE,2017-09-01T16:02:05Z,"Sep 1, 4:02PM EDT",74.76,4:02PM EDT,74.76,DVMT,
14,,99624,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",32.30,4:00PM EDT,32.30,CSCO,
15,,4112,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",155.06,4:00PM EDT,155.06,ADBE,
16,,662102,NYSE,2017-09-01T16:02:05Z,"Sep 1, 4:02PM EDT",105.34,4:02PM EDT,105.34,SAP,
17,0.53,664197,OTCMKTS,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",10.84,4:00PM EDT,10.84,LNVGY,11.15
18,,663462,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",107.46,4:02PM EDT,107.46,RHT,
19,,546053,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",29.86,4:00PM EDT,29.86,SYMC,
20,,32086821185414,NYSE,2017-09-01T16:02:20Z,"Sep 1, 4:02PM EDT",16.86,4:02PM EDT,16.86,TWTR,
21,,2150003,NASDAQ,2016-04-22T16:00:02Z,"Apr 22, 4:00PM EDT",2.00,4:00PM EDT,2.00,ATNY,
22,,701792,NASDAQ,2017-07-13T16:00:00Z,"Jul 13, 4:00PM EDT",2.14,4:00PM EDT,2.14,ACTS,
23,,353353,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",65.12,4:00PM EDT,65.12,ATVI,
24,,22211999209714,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",6.70,4:00PM EDT,6.70,IOTS,
25,,991188195088616,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",11.70,4:00PM EDT,11.70,ADRO,
26,,327,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",13.19,4:00PM EDT,13.19,AMD,
27,,658374,NASDAQ,2015-07-07T16:47:00Z,"Jul 7, 4:47PM EDT",44.24,4:47PM EDT,44.24,ADVS,
28,,662811,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",104.18,4:00PM EDT,104.18,ZBRA,
29,,6977158,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",3.34,4:00PM EDT,3.34,XPLR,
30,,421116157082207,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",5.08,4:00PM EDT,5.08,XBIT,
31,,353014528816355,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",64.45,4:00PM EDT,64.45,WIX,
32,,700772,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",66.47,4:00PM EDT,66.47,WBMD,
33,,795984728141116,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",17.00,4:00PM EDT,17.00,VNOM,
34,,726801,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",38.35,4:00PM EDT,38.35,VIA,
35,,658077,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",19.40,4:00PM EDT,19.40,VECO,
36,,28412864560552,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",23.64,4:00PM EDT,23.64,UPLD,
37,,2022526,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",58.97,4:00PM EDT,58.97,UBNT,
38,,658290,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",26.60,4:00PM EDT,26.60,UFPT,
39,,895337094816535,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",5.68,4:00PM EDT,5.68,TYME,
40,,684340864013756,NASDAQ,2016-02-03T16:00:01Z,"Feb 3, 4:00PM EST",5.87,4:00PM EST,5.87,TRIV,
41,,307145951988945,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",42.74,4:00PM EDT,42.74,TRIP,
42,,161667,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",1.29,4:00PM EDT,1.30,TGA,
43,,718543,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",5.68,4:02PM EDT,5.68,TSI,
44,,657924,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",13.05,4:00PM EDT,13.05,TESS,
45,,19,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",36.25,4:02PM EDT,36.25,AIR,
46,,259191792656050,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",6.60,4:02PM EDT,6.60,ATEN,
47,,14986500,NYSE,2017-09-01T16:02:18Z,"Sep 1, 4:02PM EDT",10.87,4:02PM EDT,10.87,AQN,
48,,557960,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",12.85,4:02PM EDT,12.85,DDD,
49,,631764807437055,NYSE,2017-09-01T16:02:03Z,"Sep 1, 4:02PM EDT",63.94,4:02PM EDT,63.94,WUBA,
50,,665276,NYSE,2017-09-01T16:02:03Z,"Sep 1, 4:02PM EDT",6.13,4:02PM EDT,6.13,ASX,
51,,663860,NYSE,2017-09-01T16:03:16Z,"Sep 1, 4:03PM EDT",64.38,4:03PM EDT,64.38,A,
52,,9647161361367,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",22.81,4:02PM EDT,22.81,AYX,
53,,1048550006614550,NYSE,2017-09-01T16:02:00Z,"Sep 1, 4:02PM EDT",7.94,4:02PM EDT,7.94,AMBR,
54,,661395,NYSE,2017-09-01T16:00:11Z,"Sep 1, 4:00PM EDT",59.80,4:00PM EDT,59.80,AEE,
55,,69898,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",32.85,4:02PM EDT,32.85,BHE,
56,,71562,NYSE,2017-09-01T16:02:00Z,"Sep 1, 4:02PM EDT",219.03,4:02PM EDT,219.03,BIO,
57,,696184,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",17.17,4:02PM EDT,17.17,CPL,
58,,5236,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",22.65,4:02PM EDT,22.65,CTS,
59,,9111,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",159.36,4:02PM EDT,159.36,CMI,
60,,723044,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",34.60,4:02PM EDT,34.60,DGI,
61,,10020,NYSE,2017-09-01T16:00:28Z,"Sep 1, 4:00PM EDT",78.33,4:00PM EDT,78.33,D,
62,,271466,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",86.00,4:02PM EDT,86.00,HEI,
63,,655615,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",11.53,4:00PM EDT,11.53,ASUR,
64,,656328,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",4.47,4:00PM EDT,4.47,AVID,
65,,663025,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",30.62,4:00PM EDT,30.62,EPAY,
66,,705837,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",1.30,4:00PM EDT,1.30,CBAK,
67,,92307,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",1.12,4:00PM EDT,1.12,CPSH,
68,,655719,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",4.75,4:00PM EDT,4.75,CYAN,
69,,615138382492431,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",44.62,4:00PM EDT,44.62,DBVT,
70,,907454951372768,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",1.21,4:00PM EDT,1.21,DELT,
71,,659942,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",6.47,4:00PM EDT,6.47,EDGW,
72,,1060156368870410,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",5.70,4:00PM EDT,5.70,XELA,
73,,667026,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",0.355,4:00PM EDT,0.36,FALC,
74,,16581430,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",7.50,4:00PM EDT,7.50,SVVC,
75,,9112677,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",4.81,4:00PM EDT,4.81,FBIO,
76,,661455,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",14.85,4:00PM EDT,14.85,GEOS,
77,,4100503,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",27.44,4:00PM EDT,27.44,QQQC,
78,,531834042473910,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",9.00,4:00PM EDT,9.00,GPRO,
79,,664838,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",17.85,4:00PM EDT,17.85,MRVL,
80,,940231036093421,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",49.23,4:00PM EDT,49.23,MZOR,
81,,213717072645987,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",43.35,4:02PM EDT,43.35,BKFS,
82,,661224,NYSE,2017-09-01T16:00:54Z,"Sep 1, 4:00PM EDT",240.33,4:00PM EDT,240.33,BA,
83,,655853,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",34.87,4:02PM EDT,34.87,CAJ,
84,,656266,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",21.50,4:02PM EDT,21.50,CRY,
85,,145482,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",43.30,4:02PM EDT,43.30,CUB,
86,,723044,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",34.60,4:02PM EDT,34.60,DGI,
87,,667047,NYSE,2017-09-01T16:01:05Z,"Sep 1, 4:01PM EDT",18.67,4:01PM EDT,18.67,GME,
88,,14676476,NYSE,2017-09-01T16:00:23Z,"Sep 1, 4:00PM EDT",37.36,4:00PM EDT,37.36,GM,
89,,1792600,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",5.95,4:02PM EDT,5.95,GNE,
90,,667044,NYSE,2017-09-01T16:03:11Z,"Sep 1, 4:03PM EDT",204.64,4:03PM EDT,204.64,ASR,
91,,705160,NYSE,2017-09-01T16:02:03Z,"Sep 1, 4:02PM EDT",110.91,4:02PM EDT,110.91,PAC,
92,,285358169912473,NYSE,2017-09-01T16:01:16Z,"Sep 1, 4:01PM EDT",80.05,4:01PM EDT,80.05,MDT,
93,,661135,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",602.94,4:02PM EDT,602.94,MTD,
94,,589360818704057,NYSE,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",9.59,4:00PM EDT,9.59,MIXT,
95,,727656976638193,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",21.86,4:02PM EDT,21.86,MULE,
96,,24965,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",71.55,4:02PM EDT,71.55,NC,
97,,488693,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",6.19,4:02PM EDT,6.19,NPTN,
98,,8593082,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",112.90,4:00PM EDT,112.90,NXPI,
99,,284113305560235,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",15.53,4:00PM EDT,15.53,NSTG,
