StockSymbol,PE,change_pct,last,short_ratio,time,Name Of Company,Headquarters,Number of Stocks
AAPL,18.01,-1.63%,158.63,1.9,4:00pm,Apple Inc.,"Cupertino, CA","50,000"
GOOGL,34.12,-0.89%,941.41,1.45,4:00pm,Alphabet Inc.,"Mountain View, CA","23,000"
AMZN,245.65,-1.39%,965.9,1.21,4:00pm,"Amazon.com, Inc.","Seattle, WA","28,000"
FB,38.26,-1.30%,170.95,0.97,4:00pm,"Facebook, Inc. ","Menlo Park, CA","34,200"
SSNLF,10.65,+0.00%,1975.0,0.0,3:29pm,Samsung Electronics Co Ltd.,"Seoul, South Korea","90,000"
MSFT,27.3,-0.48%,73.98,1.95,4:00pm,Microsoft Corporation,"Redmond, WA","44,332"
SNE,42.3,+1.27%,39.93,2.08,3:59pm,Sony Corporation,"Minato, Tokyo, Japan","4,099"
IBM,11.82,-0.31%,142.45,5.26,3:59pm,IBM,"Armonk, North Castle, NY","3,806"
NTDOY,29.44,+1.61%,41.56,0.0,3:59pm,"Nintendo Co., Ltd.","Kyoto, Kyoto Prefecture, Japan",845
ORCL,23.34,-0.27%,51.59,1.84,3:59pm,Oracle Corporation,"Redwood City, CA","6,623"
VMW,38.19,-0.38%,106.09,10.14,3:59pm,"VMware, Inc.","Palo Alto, CA","9,322"
INTC,13.43,-0.98%,35.19,4.17,4:00pm,Intel Corporation,"Santa Clara, CA","1,684"
HPQ,13.9,-0.83%,19.12,2.44,3:59pm,HP Inc.,"Palo Alto, CA","8,662"
DVMT,,-0.26%,74.28,0.88,3:59pm,Dell Technologies Inc.,"Round Rock, TX",168
CSCO,16.57,-0.88%,31.48,2.23,4:00pm,"Cisco Systems, Inc.","San Jose, CA","4,677"
ADBE,54.11,-0.08%,155.34,2.72,4:00pm,Adobe Systems Incorporated,"San Jose, CA","6,801"
SAP,32.22,+0.30%,108.33,6.51,3:59pm,SAP SE ,"Walldorf, Germany","3,856"
